epoch,lr,train loss,train acc,test loss,test acc
0,0.1,3.9816833331034736,8.178,3.932345995536217,11.39
1,0.09755282581475769,3.3734143391633644,17.964,3.2639235013570542,21.01
2,0.09045084971874738,2.851768898963928,27.394,2.895238861059531,28.83
3,0.07938926261462366,2.4632526825635863,35.56,2.4353507451522045,37.48
4,0.06545084971874737,2.145669371348161,42.36,2.1457492220096097,43.39
5,0.05,1.873624693430387,48.616,1.9073564807573955,48.53
6,0.03454915028125263,1.6296056105540349,54.672,1.7802273432413738,51.51
7,0.02061073738537635,1.393482937415441,60.434,1.5474773324452913,57.24
8,0.009549150281252633,1.1747753594166193,66.39,1.383907051422657,61.64
9,0.0024471741852423235,1.0159313773497558,70.65,1.296019700857309,63.91
10,0.1,1.9935450839690674,45.828,1.968974938759437,47.03
11,0.0993844170297569,1.7615771782703888,51.254,1.8869804648252635,50.24
12,0.09755282581475769,1.6441506440822895,54.144,1.8687818218500187,50.38
13,0.09455032620941839,1.5535476161883428,56.45,1.8687879152787037,51.5
14,0.09045084971874738,1.4745784933750445,58.412,1.6615896576490157,54.72
15,0.08535533905932738,1.3866160915448116,60.55,1.6824905673662822,55.0
16,0.07938926261462366,1.3207697956989972,62.416,1.6169828573862712,57.12
17,0.07269952498697733,1.2266417740247189,64.89,1.6029347731516912,57.59
18,0.06545084971874737,1.1500906996237925,66.89,1.436988509618319,60.62
19,0.05782172325201155,1.0630037651612207,68.988,1.4159703705555353,61.84
20,0.05,0.9757096610008142,71.304,1.3252572745848925,63.71
21,0.04217827674798847,0.8680583871327914,74.526,1.318926526949956,63.94
22,0.03454915028125263,0.7694167708739256,77.106,1.2709318804435241,65.55
23,0.027300475013022664,0.6576848813356497,80.21,1.1623005209824977,68.79
24,0.02061073738537635,0.5464548182028991,83.564,1.1222268404104772,69.44
25,0.014644660940672627,0.4331757532480435,86.954,1.0474595129489899,71.25
26,0.009549150281252633,0.3281516729257046,90.426,1.0637713601956,72.25
27,0.005449673790581611,0.25097177643806506,92.952,1.0447090749557202,73.02
28,0.0024471741852423235,0.20145992992015985,94.758,1.0399436637377129,73.46
29,0.0006155829702431171,0.17511392134504442,95.664,1.0226921507945428,73.95
30,0.1,1.5555580225128394,56.726,1.7070945180379427,54.08
31,0.0998458666866564,1.3618076899112799,61.352,1.6810647768852038,55.67
32,0.0993844170297569,1.2858771327214362,63.466,1.5633196937732208,58.53
33,0.09861849601988383,1.254599169584421,63.984,1.5477275726122735,58.05
34,0.09755282581475769,1.2300682303233024,64.702,1.489436733417022,59.06
35,0.09619397662556434,1.1984616580681924,65.576,1.4710845381785662,60.54
36,0.09455032620941839,1.1746437390645346,66.352,1.584976593653361,57.15
37,0.09263200821770462,1.1470402216299986,66.832,1.4366273895288124,60.49
38,0.09045084971874738,1.133444838798963,67.462,1.455428557518201,60.33
