epoch,lr,train loss,train acc,test loss,test acc
0,0.1,3.9816833331034736,8.178,3.932345995536217,11.39
1,0.1,3.3767313327544777,17.846,3.2343286856626854,20.92
2,0.05,2.7533314576515786,29.464,2.7165149542001576,31.02
3,0.1,2.633832773184165,32.032,2.5518320432076087,35.0
4,0.08535533905932738,2.263481471783076,39.628,2.2883650079751625,39.76
5,0.05,1.8802450999235496,48.506,1.9115508137605128,48.15
6,0.014644660940672627,1.5041591583154141,57.6,1.611282923282721,55.8
7,0.1,2.0123101488137856,45.144,2.1805293682294016,44.57
8,0.09619397662556434,1.8244096811001118,49.792,1.99695666325398,46.97
9,0.08535533905932738,1.6501632008797082,54.028,1.9621613316046886,48.67
10,0.0691341716182545,1.462230051175142,58.766,1.6582801724091554,54.58
11,0.05,1.2621084618262755,63.774,1.620726655691098,57.06
12,0.030865828381745515,1.055168234843474,69.378,1.348825107782315,61.98
13,0.014644660940672627,0.8385541314497972,75.388,1.1584825630371387,67.33
14,0.0038060233744356634,0.6702145152367078,80.308,1.0749393846744146,69.64
15,0.1,1.5966783897999006,55.234,1.7955962939140124,52.68
16,0.09903926402016153,1.4951330738189892,57.84,1.7735578891558526,53.65
17,0.09619397662556434,1.4112476969376588,60.248,1.706825315952301,54.99
18,0.09157348061512727,1.3310467828542758,62.246,1.6659382688693511,54.78
19,0.08535533905932738,1.2682750197557302,63.736,1.6001779116117036,57.38
20,0.07777851165098011,1.1937426134561882,65.616,1.4287192592254052,60.7
21,0.0691341716182545,1.0951369953461183,68.236,1.4990705740757477,60.34
22,0.059754516100806426,1.0096137366233728,70.71,1.3641159480962999,63.1
23,0.05,0.9049004687712743,73.204,1.3543602113540356,63.11
24,0.04024548389919359,0.790348859780874,76.58,1.1791181472631602,67.15
25,0.030865828381745515,0.6670183679996393,79.896,1.1513705895497248,68.56
26,0.022221488349019904,0.533201575355652,84.128,1.0982059034017415,69.94
27,0.014644660940672627,0.40960796842208275,87.914,1.0397159862212646,72.2
28,0.008426519384872733,0.3060934061041245,91.218,1.0136392674384973,73.41
29,0.0038060233744356634,0.231261529506017,93.652,0.9946784499364022,74.06
30,0.0009607359798384785,0.19520706585966624,95.044,0.9910159248572129,74.35
31,0.1,1.4722763770665879,58.636,1.696585673552293,54.86
32,0.09975923633360985,1.3058263699213664,62.926,1.5605015494884589,57.22
33,0.09903926402016153,1.2601458150606888,64.054,1.5163523692351122,58.54
34,0.09784701678661045,1.2127027497841762,65.054,1.5720249185195336,58.62
35,0.09619397662556434,1.1901246145749704,65.914,1.4832668136327694,60.42
36,0.09409606321741776,1.1571608170484886,66.778,1.6469632738675826,57.11
37,0.09157348061512727,1.1264752174035098,67.498,1.4702506707264826,60.39
38,0.08865052266813685,1.1059466837308345,68.13,1.5429576024031029,58.42
39,0.08535533905932738,1.0698637075913258,69.106,1.408199925453235,60.63
40,0.08171966420818227,1.0279981240248068,69.982,1.3896640371053646,62.95
41,0.07777851165098011,0.9850028085402953,71.456,1.3078651206615644,64.39
42,0.0735698368412999,0.943513784194604,72.402,1.272308036302909,65.02
43,0.0691341716182545,0.8976696815246191,73.54,1.397888911076081,63.8
44,0.06451423386272312,0.8580633955888259,74.748,1.289045485166403,64.85
45,0.059754516100806426,0.8097016407129092,75.948,1.2787240995810583,65.52
46,0.054900857016478045,0.7662085249637947,77.024,1.2399364098524437,66.94
47,0.05,0.7044975319733986,79.108,1.3144855682666485,66.04
48,0.04509914298352197,0.6529299130042394,80.54,1.1277572696025555,68.84
49,0.04024548389919359,0.5836597505288247,82.552,1.137719683922254,69.79
50,0.03548576613727689,0.5189849809194222,84.464,1.0788433184990516,71.43
51,0.030865828381745515,0.4502108880342581,86.458,1.103447655072579,70.64
52,0.026430163158700115,0.37368342670110555,88.98,1.1395247479279835,71.15
53,0.022221488349019904,0.3050839378283574,91.098,1.0456031973545368,73.33
54,0.01828033579181773,0.2365670763147183,93.298,1.0415175816951654,73.67
55,0.014644660940672627,0.17541364807731066,95.258,1.0152915303523724,74.35
56,0.011349477331863152,0.1275014586460132,96.866,1.0236503527714655,74.94
57,0.008426519384872733,0.09485992691837825,97.832,1.0003514840052679,74.92
58,0.005903936782582254,0.07158063168709095,98.558,0.9771828873035235,75.83
59,0.0038060233744356634,0.05502970259732161,99.074,0.9846660303763854,76.22
60,0.002152983213389559,0.046742929570758956,99.288,0.9878586821067028,76.19
